Title;S3 Video URL;S3 Match File;S3 Match Score;Image de couverture;Muscle cible;Position de depart;Mouvement;Thème;serie;Contre-indication
Pont épaulé 1 pied au sol;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/bande/11.+Pont+e%CC%81paule%CC%81+1+pied+au+sol+et+e%CC%81lastique+bande.mp4;groupes-musculaires/bande/11. Pont épaulé 1 pied au sol et élastique bande.mp4;0.7246;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/11.+Pont+e%CC%81paule%CC%81+1+pied+au+sol+et+e%CC%81lastique+bande-thumb.jpg";Fessier, ischio, dos.;"Couché sur le sol, les fessiers près du banc avec un pied sur le banc.

L’autre jambe est tendue.

L’élastique band au-dessus des genoux.";"Monter le fessier et aligner les genoux, les hanches et les épaules.

Le poids du corps repose sur le haut des omoplates.

Puis descendre lentement le fessier au sol.

Expirer lors du mouvement et tenir les abdominaux.";Pont épaulé;3x 15 répétitions;dos
7.8 - Bucheron un genou sur le bosu + 1 main step + pied décollé;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/dos/46.+Bucheron+un+genou+bosu+%2B+main+step+et+halte%CC%80re.mp4;groupes-musculaires/dos/46. Bucheron un genou bosu + main step et haltère.mp4;0.7327;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/46.+Bucheron+un+genou+bosu+%2B+main+step+et+halte%CC%80re-thumb.jpg";Grand dorsal, biceps, transverse.;"Un genou en appui sur le bosu et une main en appui sur le step.

L’autre jambe est tendue et le pied décollé

Dos incliné et parallèle au sol.

Bras tendu et dirigé vers le sol.

Courbe du dos neutre.

Tête dans le prolongement de la colonne vertébrale.";"Tirer le coude vers le haut et amener l’haltère vers la poitrine.

Revenir lentement sans bloquer les coudes.

Tenir les abdominaux.";;3x 12 répétitions;Aucune
Tirage poitrine assis ballon + 2 poulies hautes;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/dos/2.+Tirage+poitrine+assis+ballon+%2B+2+poulies+hautes.mp4;groupes-musculaires/dos/2. Tirage poitrine assis ballon + 2 poulies hautes.mp4;1;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/2.+Tirage+poitrine+assis+ballon+%2B+2+poulies+hautes-thumb.jpg";Grand dorsal, biceps.;"Assis sur le ballon avec la courbe lombaire neutre.

Bras tendus vers le haut.";"Tirer les coudes vers la taille.

Revenir bras tendus sans bloquer les coudes.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/biceps/6.+Biceps+a%CC%80+genoux+en+appui+sur+le+ballon+%2B+halte%CC%80re.mp4;groupes-musculaires/biceps/6. Biceps à genoux en appui sur le ballon + haltère.mp4;0;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/6.+Biceps+a%CC%80+genoux+en+appui+sur+le+ballon+%2B+halte%CC%80re-thumb.jpg";;;;;;
Fente pied avant bosu + pied arrière banc + haltère;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/fessiers-jambes/14.+Fente+pied+avant+bosu+%2B+pied+arrie%CC%80re+banc+%2B+halte%CC%80re+H.mp4;groupes-musculaires/fessiers-jambes/14. Fente pied avant bosu + pied arrière banc + haltère H.mp4;0.9792;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/14.+Fente+pied+avant+bosu+%2B+pied+arrie%CC%80re+banc+%2B+halte%CC%80re+H-thumb.jpg";Fessier, cuisse, ischio, mollet.;"Pied avant au centre du bosu et pied arrière sur le banc.

Aligner le genou de la jambe avant sous la cheville.

Le genou de la jambe arrière est fléchit et la jambe relâchée.

Haltère aux mains.";"Transférer le poids du corps sur la jambe avant.

Descendre en poussant légèrement le fessier vers l’arrière.

Amener l’arrière cuisse de la jambe avant parallèlement au sol au maximun.

Remonter sans bloquer le genou et en maintenant l’axe genou-cheville.

Inspirer sur la descente et tenir les abdominaux.";Fente;3x15 répétitions;genoux
Squat;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/cardio/25.+Squat+jump+F.mp4;groupes-musculaires/cardio/25. Squat jump F.mp4;0.5882;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/25.+Squat+jump+F-thumb.jpg";Fessier, cuisse, ischio, mollet.;"Debout, pieds parallèles largeur des épaules.

L’élastique band au-dessus des genoux.";"Descendre en poussant le fessier légèrement vers l’arrière et fléchir les genoux.

Les genoux peuvent avancer jusqu’à la pointe des pieds.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Fessier jambe;3x 15 à 20 répétitions;aucune
Abduction de hanche coucher et les pieds banc;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/bande/6.+Abduction+de+hanche+coucher+et+pieds+banc+et+e%CC%81lastique+bande.mp4;groupes-musculaires/bande/6. Abduction de hanche coucher et pieds banc et élastique bande.mp4;0.781;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/6.+Abduction+de+hanche+coucher+et+pieds+banc+et+e%CC%81lastique+bande-thumb.jpg";Abducteur, TFL, fessier, ischio, dos.;"Couché sur le sol, les fessiers près du banc et les pieds largeur du bassin sur le banc.

L’élastique band au-dessus des genoux.";"Monter le fessier puis tirer l’élastique vers l’extérieur.

Ramener les genoux dans l’axe des hanches et redescendre.

Expirer lors du mouvement et tenir les abdominaux.";Fessier jambe;3x 15 à 20 répétitions;aucune
Presse à cuisse verticale;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/programmes-predefinis/machine/3.+Fessier+Jambe+presse+a%CC%80+cuisse+verticale.mp4;programmes-predefinis/machine/3. Fessier Jambe presse à cuisse verticale.mp4;0.7812;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/3.+Fessier+Jambe+presse+a%CC%80+cuisse+verticale-thumb.jpg";fessier, cuisse, ischio, mollet;"Debout, pieds parallèles sur l’avant du plateau et largeur des épaules

Le fessier et le dos contre le siège.

Les épaules sous les coussinets.";"Descendre en fléchissant les genoux.

Amener les arrières cuisses parallèlement au sol.

Remonter sans bloquer les genoux.

Inspirer sur la descente et tenir les abdominaux.";Cuisse et arrière cuisse;3x 12 répétitions;aucune
Tirage bras tendus alternés couché sur le ballon + haltère;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/dos/27.+Tirage+bras+tendus+alterne%CC%81+couche%CC%81+sur+le+ballon.mp4;groupes-musculaires/dos/27. Tirage bras tendus alterné couché sur le ballon.mp4;0.9126;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/27.+Tirage+bras+tendus+alterne%CC%81+couche%CC%81+sur+le+ballon-thumb.jpg";Grand dorsal, biceps.;"Positionner la poitrine et le bassin sur le ballon.

Les bras tendus le long du corps.

La tête dans le prolongement de la colonne vertébrale.

Ancrer les pieds dans le sol.";"Effectuer un demi-cercle en maintenant les bras tendus.

Amener les bras à hauteur des oreilles.

Tenir les abdominaux.";Tirage;3X15 répétitions;aucune
1.3 - Crunch au sol avec genoux 90°;https://only-you-coaching.s3.eu-north-1.amazonaws.com/Video/groupes-musculaires/abdos/2.+crunch+au+sol+%2B+genoux+a%CC%80+90%C2%B0+x.mp4;groupes-musculaires/abdos/2. crunch au sol + genoux à 90° x.mp4;0.7869;"https://only-you-coaching.s3.eu-north-1.amazonaws.com/thumbnails/2.+crunch+au+sol+%2B+genoux+a%CC%80+90%C2%B0+x-thumb.jpg";Droit de l’abdomen;"Couché sur le dos.

Courbe lombaire neutre.

Main derrière la tête.

Genoux à 90°";"Relever le buste, en gardant l’espace d’un point entre le menton et le corps.

Expirez en faisant le mouvement.

Revenir sans poser la tête au sol.";Abdominaux;1x 15 à 20 répétitions;Aucune
